_1,_2,arlington_at_chicago_weed_street_otb,january
2011,654235,HAWTHORNE AT BUFFALO GROVE - OTB,APRIL 
2011,2409791,"HAWTHORNE AT CHICAGO, CORLISS - OTB",APRIL 
2011,1217487,HAWTHORNE AT JOLIET - OTB,APRIL 
2011,1127259,HAWTHORNE AT MOKENA - OTB,APRIL 
2011,161950,HAWTHORNE AT YORKVILLE - OTB,APRIL 
2011,5191028,"HAWTHORNE RACE COURSE, INC.",APRIL 
2011,1069921,"HAWTHORNE RACE COURSE, INC. - IT.",APRIL 
2011,677660,MAYWOOD AT ELK GROVE VILLAGE - OTB,APRIL 
2011,2547937,MAYWOOD AT NILES - OTB,APRIL 
2011,549557,MAYWOOD AT NORTH AURORA - OTB,APRIL 
2011,2533768,MAYWOOD AT OAKBROOK - OTB,APRIL 
2011,3065446,MAYWOOD PARK TROTTING ASSOCIATION -IT.,APRIL 
2011,839799,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",APRIL 
2011,564736,QUAD CITY AT LOCKPORT - OTB,APRIL 
2011,795303,QUAD CITY AT MCHENRY - OTB,APRIL 
2011,807536,QUAD CITY AT ROCKFORD - OTB,APRIL 
2011,473373,QUAD CITY AT SOUTH BELOIT - OTB,APRIL 
2011,731687,QUAD CITY AT SOUTH ELGIN - OTB,APRIL 
2011,828923,"QUAD CITY DOWNS, INC. - IT.",APRIL 
2011,2076373,YOUBET ADW,APRIL 
2011,3524280,TWIN SPIRES ADW,APRIL 
2011,3227829,TVG ADW,APRIL 
2011,787018,XPRESSBET ADW,APRIL 
2011,4526227,"ARLINGTON AT CHICAGO, WEED STREET -OTB",MAY 
2011,1901464,ARLINGTON AT HODGKINS - OTB,MAY 
2011,2034092,ARLINGTON AT WAUKEGAN - OTB,MAY 
2011,552321,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,MAY 
2011,1384151,ARLINGTON PARK RACECOURSE - IT.,MAY 
2011,12566569,"ARLINGTON PARK RACECOURSE, LLC.",MAY 
2011,636286,BALMORAL AT CHAMPAIGN - OTB,MAY 
2011,3045820,BALMORAL AT CRESTWOOD - OTB,MAY 
2011,599563,BALMORAL AT NORMAL - OTB,MAY 
2011,941633,"BALMORAL RACING CLUB, INC.",MAY 
2011,937495,"BALMORAL RACING CLUB, INC. - IT.",MAY 
2011,580468,FAIRMOUNT AT ALTON - OTB,MAY 
2011,1147836,FAIRMOUNT AT SAUGET - OTB,MAY 
2011,775104,FAIRMOUNT AT SPRINGFIELD - OTB,MAY 
2011,1641089,"FAIRMOUNT PARK, INC.",MAY 
2011,3235662,"FAIRMOUNT PARK, INC. - IT.",MAY 
2011,789603,HAWTHORNE AT AURORA - OTB,MAY 
2011,816558,HAWTHORNE AT BUFFALO GROVE - OTB,MAY 
2011,2389351,"HAWTHORNE AT CHICAGO, CORLISS - OTB",MAY 
2011,1434385,HAWTHORNE AT JOLIET - OTB,MAY 
2011,1353862,HAWTHORNE AT MOKENA - OTB,MAY 
2011,217309,HAWTHORNE AT YORKVILLE - OTB,MAY 
2011,2391,"HAWTHORNE RACE COURSE, INC.",MAY 
2011,3829125,"HAWTHORNE RACE COURSE, INC. - IT.",MAY 
2011,754916,MAYWOOD AT ELK GROVE VILLAGE - OTB,MAY 
2011,2707054,MAYWOOD AT NILES - OTB,MAY 
2011,636353,MAYWOOD AT NORTH AURORA - OTB,MAY 
2011,3256557,MAYWOOD AT OAKBROOK - OTB,MAY 
2011,3487335,MAYWOOD PARK TROTTING ASSOCIATION -IT.,MAY 
2011,731355,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",MAY 
2011,613962,QUAD CITY AT LOCKPORT - OTB,MAY 
2011,847961,QUAD CITY AT MCHENRY - OTB,MAY 
2011,1102055,QUAD CITY AT ROCKFORD - OTB,MAY 
2011,581019,QUAD CITY AT SOUTH BELOIT - OTB,MAY 
2011,754311,QUAD CITY AT SOUTH ELGIN - OTB,MAY 
2011,962977,"QUAD CITY DOWNS, INC. - IT.",MAY 
2011,2804049,YOUBET ADW,MAY 
2011,4625604,TWIN SPIRES ADW,MAY 
2011,3722651,TVG ADW,MAY 
2011,1060572,XPRESSBET ADW,MAY 
2011,3601420,"ARLINGTON AT CHICAGO, WEED STREET -OTB",JUNE 
2011,1496605,ARLINGTON AT HODGKINS - OTB,JUNE 
2011,1550716,ARLINGTON AT WAUKEGAN - OTB,JUNE 
2011,539093,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,JUNE 
2011,1325499,ARLINGTON PARK RACECOURSE - IT.,JUNE 
2011,11347624,"ARLINGTON PARK RACECOURSE, LLC.",JUNE 
2011,350938,BALMORAL AT CHAMPAIGN - OTB,JUNE 
2011,2166623,BALMORAL AT CRESTWOOD - OTB,JUNE 
2011,404964,BALMORAL AT NORMAL - OTB,JUNE 
2011,949952,"BALMORAL RACING CLUB, INC.",JUNE 
2011,690401,"BALMORAL RACING CLUB, INC. - IT.",JUNE 
2011,441761,FAIRMOUNT AT ALTON - OTB,JUNE 
2011,930387,FAIRMOUNT AT SAUGET - OTB,JUNE 
2011,504627,FAIRMOUNT AT SPRINGFIELD - OTB,JUNE 
2011,1399239,"FAIRMOUNT PARK, INC.",JUNE 
2011,2234419,"FAIRMOUNT PARK, INC. - IT.",JUNE 
2011,624995,HAWTHORNE AT AURORA - OTB,JUNE 
2011,600551,HAWTHORNE AT BUFFALO GROVE - OTB,JUNE 
2011,2119471,"HAWTHORNE AT CHICAGO, CORLISS - OTB",JUNE 
2011,1081262,HAWTHORNE AT JOLIET - OTB,JUNE 
2011,1012364,HAWTHORNE AT MOKENA - OTB,JUNE 
2011,181097,HAWTHORNE AT YORKVILLE - OTB,JUNE 
2011,3302128,"HAWTHORNE RACE COURSE, INC. - IT.",JUNE 
2011,642296,MAYWOOD AT ELK GROVE VILLAGE - OTB,JUNE 
2011,2193765,MAYWOOD AT NILES - OTB,JUNE 
2011,520039,MAYWOOD AT NORTH AURORA - OTB,JUNE 
2011,2408240,MAYWOOD AT OAKBROOK - OTB,JUNE 
2011,2819615,MAYWOOD PARK TROTTING ASSOCIATION -IT.,JUNE 
2011,854705,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",JUNE 
2011,507624,QUAD CITY AT LOCKPORT - OTB,JUNE 
2011,686837,QUAD CITY AT MCHENRY - OTB,JUNE 
2011,829791,QUAD CITY AT ROCKFORD - OTB,JUNE 
2011,460606,QUAD CITY AT SOUTH BELOIT - OTB,JUNE 
2011,666128,QUAD CITY AT SOUTH ELGIN - OTB,JUNE 
2011,735396,"QUAD CITY DOWNS, INC. - IT.",JUNE 
2011,1850097,YOUBET ADW,JUNE 
2011,3587692,TWIN SPIRES ADW,JUNE 
2011,2895344,TVG ADW,JUNE 
2011,862326,XPRESSBET ADW,JUNE 
2011,3767076,"ARLINGTON AT CHICAGO, WEED STREET -OTB",JULY 
2011,1490797,ARLINGTON AT HODGKINS - OTB,JULY 
2011,532929,ARLINGTON AT VILLA PARK,JULY 
2011,1514652,ARLINGTON AT WAUKEGAN - OTB,JULY 
2011,671661,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,JULY 
2011,1492650,ARLINGTON PARK RACECOURSE - IT.,JULY 
2011,13324109,"ARLINGTON PARK RACECOURSE, LLC.",JULY 
2011,347938,BALMORAL AT CHAMPAIGN - OTB,JULY 
2011,2089942,BALMORAL AT CRESTWOOD - OTB,JULY 
2011,392498,BALMORAL AT NORMAL - OTB,JULY 
2011,1183743,"BALMORAL RACING CLUB, INC.",JULY 
2011,674866,"BALMORAL RACING CLUB, INC. - IT.",JULY 
2011,387617,FAIRMOUNT AT ALTON - OTB,JULY 
2011,836196,FAIRMOUNT AT SAUGET - OTB,JULY 
2011,515782,FAIRMOUNT AT SPRINGFIELD - OTB,JULY 
2011,1425685,"FAIRMOUNT PARK, INC.",JULY 
2011,2387321,"FAIRMOUNT PARK, INC. - IT.",JULY 
2011,607322,HAWTHORNE AT AURORA - OTB,JULY 
2011,796787,HAWTHORNE AT BUFFALO GROVE - OTB,JULY 
2011,2298483,"HAWTHORNE AT CHICAGO, CORLISS - OTB",JULY 
2011,1100752,HAWTHORNE AT JOLIET - OTB,JULY 
2011,1016922,HAWTHORNE AT MOKENA - OTB,JULY 
2011,217654,HAWTHORNE AT YORKVILLE - OTB,JULY 
2011,3486883,"HAWTHORNE RACE COURSE, INC. - IT.",JULY 
2011,642362,MAYWOOD AT ELK GROVE VILLAGE - OTB,JULY 
2011,2228285,MAYWOOD AT NILES - OTB,JULY 
2011,448919,MAYWOOD AT NORTH AURORA - OTB,JULY 
2011,2285960,MAYWOOD AT OAKBROOK - OTB,JULY 
2011,2645531,MAYWOOD PARK TROTTING ASSOCIATION -IT.,JULY 
2011,849381,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",JULY 
2011,529764,QUAD CITY AT LOCKPORT - OTB,JULY 
2011,672785,QUAD CITY AT MCHENRY - OTB,JULY 
2011,794405,QUAD CITY AT ROCKFORD - OTB,JULY 
2011,424379,QUAD CITY AT SOUTH BELOIT - OTB,JULY 
2011,669558,QUAD CITY AT SOUTH ELGIN - OTB,JULY 
2011,767684,"QUAD CITY DOWNS, INC. - IT.",JULY 
2011,1918820,YOUBET ADW,JULY 
2011,4028538,TWIN SPIRES ADW,JULY 
2011,3066476,TVG ADW,JULY 
2011,1341,BETZOTIC ADW,JULY 
2011,1003332,XPRESSBET ADW,JULY 
2011,3424285,"ARLINGTON AT CHICAGO, WEED STREET -OTB",AUGUST 
2011,1416422,ARLINGTON AT HODGKINS - OTB,AUGUST 
2011,1179500,ARLINGTON AT VILLA PARK,AUGUST 
2011,1474075,ARLINGTON AT WAUKEGAN - OTB,AUGUST 
2011,588179,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,AUGUST 
2011,1420848,ARLINGTON PARK RACECOURSE - IT.,AUGUST 
2011,13377101,"ARLINGTON PARK RACECOURSE, LLC.",AUGUST 
2011,324305,BALMORAL AT CHAMPAIGN - OTB,AUGUST 
2011,2117256,BALMORAL AT CRESTWOOD - OTB,AUGUST 
2011,376083,BALMORAL AT NORMAL - OTB,AUGUST 
2011,977663,"BALMORAL RACING CLUB, INC.",AUGUST 
2011,636538,"BALMORAL RACING CLUB, INC. - IT.",AUGUST 
2011,16544,"BROWN COUNTY FAIR, MT. STERLING",AUGUST 
